==> Starting concretization pool with 16 processes
==> Environment concretized in 34.60 seconds.
==> Concretized bacio@2.4.1
[+]  3tq3ucx  bacio@2.4.1%clang@15.0.7~ipo+pic build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  kungleq          ^yaksa@0.2%clang@15.0.7~cuda~rocm build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  opma3o4              ^autoconf@2.69%clang@15.0.7 build_system=autotools patches=35c4492,7793209,a49dd5b arch=linux-ubuntu20.04-x86_64
[+]  bmqshzb              ^automake@1.16.5%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4              ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e                  ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm                      ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                          ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g                  ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv                      ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                          ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                          ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of                  ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu                  ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl                  ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz                      ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  zxexlww                  ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp                  ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4      ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7          ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53              ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized py-numpy@1.22.3
[+]  jh7xmzp  py-numpy@1.22.3%clang@15.0.7+blas+lapack build_system=python_pip patches=873745d,e9508c3 arch=linux-ubuntu20.04-x86_64
[+]  fwcet7k      ^openblas@0.3.21%clang@15.0.7~bignuma~consistent_fpcsr+fortran~ilp64+locking+pic+shared build_system=makefile patches=d3d9b15 symbol_suffix=none threads=none arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4          ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7              ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  qjig7yr      ^py-cython@0.29.32%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  sh2twxs      ^py-pip@22.2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  e53n4ff      ^py-setuptools@63.0.0%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  izu6rhy      ^py-wheel@0.37.1%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4      ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo              ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e          ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm              ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                  ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g          ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k              ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv              ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                  ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                  ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of          ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu          ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53          ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  zxexlww          ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp          ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6          ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized py-pandas@1.4.0
[+]  qclgnch  py-pandas@1.4.0%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  jh7xz6t      ^py-bottleneck@1.3.5%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  aq22ppy          ^py-versioneer@0.26%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  qjig7yr      ^py-cython@0.29.32%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  iqrf2ho      ^py-numexpr@2.8.3%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  guzs6m6          ^py-packaging@21.3%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  z2ntm3m              ^py-pyparsing@3.0.9%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  iehptxe                  ^py-flit-core@3.7.1%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  dqbxh6g      ^py-numpy@1.24.1%clang@15.0.7+blas+lapack build_system=python_pip patches=873745d arch=linux-ubuntu20.04-x86_64
[+]  fwcet7k          ^openblas@0.3.21%clang@15.0.7~bignuma~consistent_fpcsr+fortran~ilp64+locking+pic+shared build_system=makefile patches=d3d9b15 symbol_suffix=none threads=none arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  sh2twxs      ^py-pip@22.2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  vgawoah      ^py-python-dateutil@2.8.2%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  xgeirzt          ^py-setuptools-scm@7.0.5%clang@15.0.7+toml build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  z6ypere              ^py-tomli@2.0.1%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  zhbj5n3              ^py-typing-extensions@4.3.0%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  wrkk264          ^py-six@1.16.0%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  hqfhkrn      ^py-pytz@2022.2.1%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  e53n4ff      ^py-setuptools@63.0.0%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  izu6rhy      ^py-wheel@0.37.1%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4      ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo              ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e          ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm              ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                  ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g          ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k              ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv              ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                  ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                  ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of          ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu          ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53          ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  zxexlww          ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp          ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6          ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized py-scipy@1.8.0
[+]  ti7oc6c  py-scipy@1.8.0%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  fwcet7k      ^openblas@0.3.21%clang@15.0.7~bignuma~consistent_fpcsr+fortran~ilp64+locking+pic+shared build_system=makefile patches=d3d9b15 symbol_suffix=none threads=none arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4          ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7              ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  fwrd4y3      ^py-cython@0.29.32%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  qmqtbfc      ^py-numpy@1.24.1%clang@15.0.7+blas+lapack build_system=python_pip patches=873745d arch=linux-ubuntu20.04-x86_64
[+]  sh2twxs      ^py-pip@22.2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  pp45peb      ^py-pybind11@2.8.1%clang@15.0.7~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk          ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  d7nziyn          ^ninja@1.11.1%clang@15.0.7+re2c build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  soomyx3              ^re2c@2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  rowxqpy      ^py-pythran@0.10.0%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  rsdhvnt          ^py-beniget@0.4.1%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  4ldfhsh          ^py-gast@0.5.3%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  mbzcdff          ^py-ply@3.11%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  ommmdzf      ^py-setuptools@59.4.0%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  izu6rhy      ^py-wheel@0.37.1%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4      ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo              ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e          ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm              ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                  ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g          ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k              ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv              ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                  ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                  ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of          ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu          ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53          ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  zxexlww          ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp          ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6          ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized py-shapely@1.8.0
[+]  ag5majb  py-shapely@1.8.0%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  fc7l52s      ^geos@3.11.1%clang@15.0.7~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk          ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  d7nziyn          ^ninja@1.11.1%clang@15.0.7+re2c build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  soomyx3              ^re2c@2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  qjig7yr      ^py-cython@0.29.32%clang@15.0.7 build_system=python_pip arch=linux-ubuntu20.04-x86_64
[+]  dqbxh6g      ^py-numpy@1.24.1%clang@15.0.7+blas+lapack build_system=python_pip patches=873745d arch=linux-ubuntu20.04-x86_64
[+]  fwcet7k          ^openblas@0.3.21%clang@15.0.7~bignuma~consistent_fpcsr+fortran~ilp64+locking+pic+shared build_system=makefile patches=d3d9b15 symbol_suffix=none threads=none arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  sh2twxs      ^py-pip@22.2.2%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  e53n4ff      ^py-setuptools@63.0.0%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  izu6rhy      ^py-wheel@0.37.1%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  lylyaf4      ^python@3.10.8%clang@15.0.7+bz2+crypt+ctypes+dbm~debug+libxml2+lzma~nis~optimizations+pic+pyexpat+pythoncmd+readline+shared+sqlite3+ssl~tkinter+uuid+zlib build_system=generic patches=0d98e93,7d40923,f2fd060 arch=linux-ubuntu20.04-x86_64
[+]  67euane          ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo              ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e          ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm              ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga                  ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  vtofipc          ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4j2zi2g          ^gettext@0.21.1%clang@15.0.7+bzip2+curses+git~libunistring+libxml2+tar+xz build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r              ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  j4rvf4k              ^libxml2@2.10.3%clang@15.0.7~python build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  elvnmlv              ^tar@1.34%clang@15.0.7 build_system=autotools zip=pigz arch=linux-ubuntu20.04-x86_64
[+]  ugsygwf                  ^pigz@2.7%clang@15.0.7 build_system=makefile arch=linux-ubuntu20.04-x86_64
[+]  w6wbjeb                  ^zstd@1.5.2%clang@15.0.7+programs build_system=makefile compression=none libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  2hl44of          ^libffi@3.4.3%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4eofpuu          ^libxcrypt@4.4.33%clang@15.0.7~obsolete_api build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n          ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53          ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  zxexlww          ^sqlite@3.40.1%clang@15.0.7+column_metadata+dynamic_extensions+fts~functions+rtree build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  35uv7fp          ^util-linux-uuid@2.38.1%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  a7kwmm6          ^xz@5.2.7%clang@15.0.7~pic build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd          ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized sp@2.3.3
[+]  mqaoc6j  sp@2.3.3%clang@15.0.7~ipo build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n              ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane                  ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo                      ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r                          ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  vtofipc                  ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53                      ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd              ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized udunits@2.2.28
[+]  3f2gie2  udunits@2.2.28%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  jcgfi6e      ^expat@2.5.0%clang@15.0.7+libbsd build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  imz4bbm          ^libbsd@0.11.7%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  s3c22ga              ^libmd@1.0.4%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64

==> Concretized zlib@1.2.12
[+]  6clblmx  zlib@1.2.12%clang@15.0.7+optimize+pic+shared build_system=makefile patches=0d38234 arch=linux-ubuntu20.04-x86_64
